"","author","year","title","journal"
"249","DORIS JOHN M",2009,"SKEPTICISM ABOUT PERSONS","NOUS"
"250","FIGDOR CARRIE",2008,"INTRINSICALLY/EXTRINSICALLY","JOURNAL OF PHILOSOPHY"
"251","HUEMER MICHAEL",2009,"VALUES AND MORALS: OUTLINE OF A SKEPTICAL REALISM","NOUS"
"252","MENDOLA JOSEPH",2009,"REAL DESIRES AND WELL-BEING","NOUS"
"253","RAILTON PETER",2009,"INTERNALISM FOR EXTERNALISTS","NOUS"
"254","RIDGE MICHAEL",2009,"MORAL ASSERTION FOR EXPRESSIVISTS","NOUS"
"255","ROSATI CONNIE S",2009,"RELATIONAL GOOD AND THE MULTIPLICITY PROBLEM","NOUS"
"256","SINNOTT-ARMSTRONG WALTER",2009,"MIXED-UP META-ETHICS","NOUS"
"257","SMITH MICHAEL",2009,"TWO KINDS OF CONSEQUENTIALISM","NOUS"
"258","STREET SHARON",2009,"IN DEFENSE OF FUTURE TUESDAY INDIFFERENCE: IDEALLY COHERENT ECCENTRICS
AND THE CONTINGENCY OF WHAT MATTERS","NOUS"
"259","SVAVARSDOTTIR SIGRUN",2009,"THE PRACTICAL ROLE ESSENTIAL TO VALUE JUDGMENTS","NOUS"
"260","WEDGWOOD RALPH",2009,"INTRINSIC VALUES AND REASONS FOR ACTION","NOUS"
"261","WONG DAVID B",2009,"EMOTION AND THE COGNITION OF REASONS IN MORAL MOTIVATION","NOUS"
"262","RABINOWICZ WLODEK",2009,"BROOME AND THE INTUITION OF NEUTRALITY","NOUS"
"263","SCHROEDER MARK",2008,"HOW EXPRESSIVISTS CAN AND SHOULD SOLVE THEIR PROBLEM WITH NEGATION","NOUS"
"264","WILLIAMS J ROBERT G",2008,"THE PRICE OF INSCRUTABILITY","NOUS"
"265","ALM DAVID",2008,"DEONTOLOGICAL RESTRICTIONS AND THE SELF/OTHER ASYMMETRY","NOUS"
"266","MCDONOUGH JEFFREY K",2008,"LEIBNIZ'S TWO REALMS REVISITED","NOUS"
"267","GRAHAM PETER A",2008,"THE STANDARD ARGUMENT FOR BLAME INCOMPATIBILISM","NOUS"
"268","RAVEN MICHAEL J",2008,"PROBLEMS FOR TESTIMONIAL ACQUAINTANCE","NOUS"
"269","ROSEN GIDEON",2008,"KLEINBART THE OBLIVIOUS AND OTHER TALES OF IGNORANCE AND RESPONSIBILITY","JOURNAL OF PHILOSOPHY"
"270","LOPEZ DE SA DAN",2008,"IS THE PROBLEM OF THE MANY A PROBLEM IN METAPHYSICS ?","NOUS"
"271","MCKENNA MICHAEL",2008,"FRANKFURT'S ARGUMENT AGAINST ALTERNATIVE POSSIBILITIES: LOOKING BEYOND
THE EXAMPLES","NOUS"
"272","RUPERT ROBERT D",2008,"CETERIS PARIBUS LAWS, COMPONENT FORCES, AND THE NATURE OF
SPECIAL-SCIENCE PROPERTIES","NOUS"
"273","EGAN ANDY",2008,"PRETENSE FOR THE COMPLETE IDIOM","NOUS"
"274","CAMERON ROSS P",2008,"HOW TO BE A TRUTHMAKER MAXIMALIST (HUGH MELLOR)","NOUS"
"275","SOAMES SCOTT",2008,"DRAWING THE LINE BETWEEN MEANING AND IMPLICATURE - AND RELATING BOTH TO
ASSERTION (PAUL GRICE)","NOUS"
"276","GOLDMAN ALAN",2008,"KNOWLEDGE, EXPLANATION, AND LOTTERIES ('EMPIRICAL KNOWLEDGE')","NOUS"
"277","MCGRATH MATTHEW",2008,"CONCILIATORY METAONTOLOGY AND THE VINDICATION OF COMMON SENSE","NOUS"
"278","KELLY THOMAS",2008,"DISAGREEMENT, DOGMATISM, AND BELIEF POLARIZATION","JOURNAL OF PHILOSOPHY"
"279","HIRSCH ELI",2008,"LANGUAGE, ONTOLOGY, AND STRUCTURE (MATHEW MCGRATH)","NOUS"
"280","BROWN JESSICA",2008,"SUBJECT-SENSITIVE INVARIANTISM AND THE KNOWLEDGE NORM FOR PRACTICAL
REASONING","NOUS"
"281","HENDERSON DAVID K",2008,"TESTIMONIAL BELIEFS AND EPISTEMIC COMPETENCE","NOUS"
"282","MELNYK ANDREW",2008,"CONCEPTUAL AND LINGUISTIC ANALYSIS: A TWO-STEP PROGRAM","NOUS"
"283","ISMAEL JENANN T",2008,"RAID! DISSOLVING THE BIG, BAD BUG (DAVID LEWIS)","NOUS"
"284","BARNETT DAVID",2008,"THE SIMPLICITY INTUITION AND ITS HIDDEN INFLUENCE ON PHILOSOPHY OF MIND","NOUS"
"285","SMITH NICHOLAS JJ",2008,"WHY SENSE CANNOT BE MADE OF VAGUE IDENTITY","NOUS"
"286","HELM BENNETT W",2008,"PLURAL AGENTS (GILBERT)","NOUS"
"287","LONGWORTH GUY",2008,"LINGUISTIC UNDERSTANDING AND KNOWLEDGE","NOUS"
"288","DICKER GEORGES",2008,"KANT'S REFUTATION OF IDEALISM","NOUS"
"289","GENDLER TAMAR SZABO",2008,"ALIEF AND BELIEF","JOURNAL OF PHILOSOPHY"
"290","MOYER MARK",2008,"WHY WE SHOULDN'T SWALLOW WORM SLICES: A CASE STUDY IN SEMANTIC
ACCOMMODATION","NOUS"
"291","STURGEON SCOTT",2008,"REASON AND THE GRAIN OF BELIEF","NOUS"
"292","SCHAFFER JONATHAN",2008,"KNOWLEDGE IN THE IMAGE OF ASSERTION","NOUS"
"293","BLAAUW MARTIJN",2008,"CONTRA CONTRASTIVISM","NOUS"
"294","STANLEY JASON",2008,"KNOWLEDGE AND CERTAINTY","NOUS"
"295","PRITCHARD DUNCAN",2008,"CERTAINTY AND SCEPTICISM","NOUS"
"296","BACH KENT",2008,"APPLYING PRAGMATICS TO EPISTEMOLOGY","NOUS"
"297","BROWN JESSICA",2008,"THE KNOWLEDGE NORM FOR ASSERTION","NOUS"
"298","LUDLOW PETER",2008,"CHEAP CONTEXTUALISM","NOUS"
"299","NETA RAM",2008,"HOW CHEAP CAN YOU GET?","NOUS"
"300","STOKKE ANDREAS",2013,"LYING AND ASSERTING","JOURNAL OF PHILOSOPHY"
"301","HORWICH PAUL",2008,"UNGROUNDED REASON","JOURNAL OF PHILOSOPHY"
"302","COPP DAVID",2008,"DARWINIAN SKEPTICISM ABOUT MORAL REALISM","NOUS"
"303","STREET SHARON",2008,"REPLY TO COPP: NATURALISM, NORMATIVITY, AND THE VARIETIES OF REALISM
WORTH WORRYING ABOUT","NOUS"
"304","BICCHIERI CRISTINA",2008,"THE FRAGILITY OF FAIRNESS: AN EXPERIMENTAL INVESTIGATION ON THE
CONDITIONAL STATUS OF PRO-SOCIAL NORMS","NOUS"
"305","BRENNAN GEOFFREY",2008,"LESSONS FOR ETHICS FROM ECONOMICS?","NOUS"
"306","CROCKER LAWRENCE",2008,"ETHICS AND THE LAW'S BURDENS OF PROOF","NOUS"
"307","O'CALLAGHAN CASEY",2008,"SEEING WHAT YOU HEAR: CROSS-MODAL ILLUSIONS AND PERCEPTION","NOUS"
"308","CALLENDER CRAIG",2008,"THE COMMON NOW","NOUS"
"309","BOGHOSSIAN PAUL A",2008,"EPISTEMIC RULES","JOURNAL OF PHILOSOPHY"
"310","DAINTON BARRY",2008,"SENSING CHANGE","NOUS"
"311","CLARK AUSTEN",2008,"PHENOMENAL PROPERTIES: SOME MODELS FROM PSYCHOLOGY AND PHILOSOPHY","NOUS"
"312","CAMPBELL JOHN",2008,"INTERVENTIONISM, CONTROL VARIABLES AND CAUSATION IN THE QUALITATIVE
WORLD","NOUS"
"313","LACKEY JENNIFER",2007,"NORMS OF ASSERTION (KNOWLEDGE NORM OF ASSERTION, KNA)","NOUS"
"314","RYSIEW PATRICK",2007,"SPEAKING OF KNOWING","NOUS"
"315","SHIEBER STUART M",2007,"THE TURING TEST AS INTERACTIVE PROOF (ALAN TURING)","NOUS"
"316","GREENBERG SEAN",2007,"DESCARTES ON THE PASSIONS: FUNCTION, REPRESENTATION, AND MOTIVATION","NOUS"
"317","WRIGHT CRISPIN",2008,"INTERNAL-EXTERNAL: DOXASTIC NORMS AND THE DEFUSING OF SKEPTICAL PARADOX","JOURNAL OF PHILOSOPHY"
"318","MELE ALFRED R",2007,"PERSISTING INTENTIONS","NOUS"
"319","DEBUS DOROTHEA",2007,"BEING EMOTIONAL ABOUT THE PAST: ON THE NATURE AND ROLE OF PAST-DIRECTED
EMOTIONS (AUTOBIOGRAPHICALLY PAST-DIRECTED EMOTIONS, APD-EMOTIONS)","NOUS"
"320","LUDWIG KIRK A",2007,"COLLECTIVE INTENTIONAL BEHAVIOR FROM THE STANDPOINT OF SEMANTICS","NOUS"
"321","DIEKEMPER JOSEPH",2007,"B-THEORY, FIXITY, AND FATALISM","NOUS"
"322","WHITE ROGER",2007,"DOES ORIGINS OF LIFE RESEARCH REST ON A MISTAKE?","NOUS"
"323","ELGA ADAM",2007,"REFLECTION AND DISAGREEMENT","NOUS"
"324","MONTAGUE MICHELLE",2007,"AGAINST PROPOSITIONALISM","NOUS"
"325","WEATHERSON BRIAN",2007,"HUMEANS AREN'T OUT OF THEIR MINDS","NOUS"
"326","LEEDS STEPHEN",2007,"JUHL ON MANY WORLDS (CORY JUHL)","NOUS"
"327","VOGEL JONATHAN",2008,"EPISTEMIC BOOTSTRAPPING","JOURNAL OF PHILOSOPHY"
"328","JUHL CORY",2007,"FINE-TUNING AND OLD EVIDENCE","NOUS"
"329","CHILD WILLIAM",2007,"DAVIDSON ON FIRST PERSON AUTHORITY AND KNOWLEDGE OF MEANING","NOUS"
"330","GOLDBERG SANFORD C",2007,"ANTI-INDIVIDUALISM, CONTENT PRESERVATION, AND DISCURSIVE JUSTIFICATION","NOUS"
"331","AZZOUNI JODY",2007,"ONTOLOGICAL COMMITMENT IN THE VERNACULAR","NOUS"
"332","SKOW BRADFORD",2007,"WHAT MAKES TIME DIFFERENT FROM SPACE?","NOUS"
"333","PINCOCK CHRISTOPHER",2007,"A ROLE FOR MATHEMATICS IN THE PHYSICAL SCIENCES","NOUS"
"334","JACKSON BRENDAN",2007,"TRUTH VS. PRETENSE IN DISCOURSE ABOUT MOTION (OR, WHY THE SUN REALLY
DOES RISE)","NOUS"
"335","FISHER JUSTIN C",2007,"WHY NOTHING MENTAL IS JUST IN THE HEAD","NOUS"
"336","WEATHERSON BRIAN",2008,"DEONTOLOGY AND DESCARTES'S DEMON","JOURNAL OF PHILOSOPHY"
"337","COHEN JONATHAN",2007,"A RELATIONALIST'S GUIDE TO ERROR ABOUT COLOR PERCEPTION","NOUS"
"338","PROOPS IAN",2007,"RUSSELL AND THE UNIVERSALIST CONCEPTION OF LOGIC","NOUS"
"339","CHIGNELL ANDREW",2007,"KANT'S CONCEPTS OF JUSTIFICATION","NOUS"
"340","BIRD ALEXANDER",2007,"WHAT IS SCIENTIFIC PROGRESS?","NOUS"
"341","CRISP THOMAS M",2007,"PRESENTISM AND THE GROUNDING OBJECTION","NOUS"
"342","SCHROEDER MARK",2007,"WEIGHTING FOR A PLAUSIBLE HUMEAN THEORY OF REASONS","NOUS"
"343","CAMPBELL JOHN",2007,"THE METAPHYSICS OF PERCEPTION (G. E. MOORE)","NOUS"
"344","CONEE EARL",2007,"DISJUNCTIVISM AND ANTI-SKEPTICISM","NOUS"
"345","GERTLER BRIE",2007,"CONTENT EXTERNALISM AND THE EPISTEMIC CONCEPTION OF THE SELF","NOUS"
"346","GRECO JOHN",2007,"THE NATURE OF ABILITY AND THE PURPOSE OF KNOWLEDGE","NOUS"
"347","ALLEN-HERMANSON SEAN",2008,"INSECTS AND THE PROBLEM OF SIMPLE MINDS: ARE BEES NATURAL ZOMBIES?","JOURNAL OF PHILOSOPHY"
"348","HASLANGER SALLY",2007,"``BUT MOM, CROP-TOPS ARE CUTE{''}! SOCIAL KNOWLEDGE, SOCIAL STRUCTURE
AND IDEOLOGY CRITIQUE","NOUS"
"349","HAWTHORNE JOHN",2007,"EAVESDROPPERS AND EPISTEMIC MODALS","NOUS"
"350","KORNBLITH HILARY",2007,"THE METAPHYSICAL STATUS OF KNOWLEDGE","NOUS"
"351","KVANVIG JONATHAN L",2007,"PROPOSITIONALISM AND THE METAPHYSICS OF EXPERIENCE","NOUS"
"352","MILLAR ALAN",2007,"THE STATE OF KNOWING","NOUS"
"353","NETA RAM",2007,"PROPOSITIONAL JUSTIFICATION, EVIDENCE, AND THE COST OF ERROR","NOUS"
"354","PRYOR JAMES",2007,"REASONS AND THAT-CLAUSES (THE ONTOLOGY)","NOUS"
"355","SOSA DAVID",2007,"PERCEPTUAL FRICTION (MCDOWELL)","NOUS"
"356","HOM CHRISTOPHER",2008,"THE SEMANTICS OF RACIAL EPITHETS","JOURNAL OF PHILOSOPHY"
"357","WRIGHT CRISPIN",2007,"NEW AGE RELATIVISM AND EPISTEMIC POSSIBILITY: THE QUESTION OF EVIDENCE","NOUS"
"358","ZALTA EDWARD N",2006,"DERIVING AND VALIDATING KRIPKEAN CLAIMS USING THE THEORY OF ABSTRACT
OBJECTS","NOUS"
"359","PAUL LA",2006,"COINCIDENCE AS OVERLAP","NOUS"
"360","WEDGWOOD RALPH",2006,"THE NORMATIVE FORCE OF REASONING","NOUS"
"361","NOLAN DANIEL",2006,"VAGUENESS, MULTIPLICITY AND PARTS","NOUS"
"362","OLSON ERIC T",2006,"TEMPORAL PARTS AND TIMELESS PARTHOOD","NOUS"
"363","CORREIA FABRICE",2006,"GENERIC ESSENCE, OBJECTUAL ESSENCE, AND MODALITY","NOUS"
"364","MENDOLA JOSEPH",2006,"MULTIPLE-ACT CONSEQUENTIALISM","NOUS"
"365","SPEAKS JEFF",2006,"IS MENTAL CONTENT PRIOR TO LINGUISTIC MEANING?","NOUS"
"366","DENNETT DANIEL C",2008,"DESCARTES'S ARGUMENT FROM DESIGN","JOURNAL OF PHILOSOPHY"
"367","REYNOLDS STEVEN L",2006,"REALISM AND THE MEANING OF `REAL'","NOUS"
"368","EGAN ANDY",2006,"APPEARANCE PROPERTIES?","NOUS"
"369","BRIDGES JASON",2006,"DOES INFORMATIONAL SEMANTICS COMMIT EUTHYPHRO'S FALLACY?","NOUS"
"370","FUNKHOUSER ERIC",2006,"THE DETERMINABLE-DETERMINATE RELATION","NOUS"
"371","PAUTZ ADAM",2006,"SENSORY AWARENESS IS NOT A WIDE PHYSICAL RELATION: AN EMPIRICAL ARGUMENT
AGAINST EXTERNALIST INTENTIONALISM","NOUS"
"372","RUPERT ROBERT D",2006,"FUNCTIONALISM, MENTAL CAUSATION, AND THE PROBLEM OF METAPHYSICALLY
NECESSARY EFFECTS","NOUS"
"373","CARSON THOMAS L",2006,"THE DEFINITION OF LYING","NOUS"
"374","BAKER LYNNE RUDDER",2006,"MORAL RESPONSIBILITY WITHOUT LIBERTARIANISM","NOUS"
"375","CHRISMAN MATTHEW",2008,"OUGHT TO BELIEVE","JOURNAL OF PHILOSOPHY"
"376","SHOGENJI T",2006,"A DEFENSE OF REDUCTIONISM ABOUT TESTIMONIAL JUSTIFICATION OF BELIEFS","NOUS"
"377","HORWICH PAUL",2006,"THE VALUE OF TRUTH","NOUS"
"378","SCHIFFER STEPHEN",2006,"A PROBLEM FOR A DIRECT-REFERENCE THEORY OF BELIEF REPORTS","NOUS"
"379","SALMON NATHAN",2006,"THE RESILIENCE OF ILLOGICAL BELIEF","NOUS"
"380","BRAUN DAVID",2006,"ILLOGICAL, BUT RATIONAL","NOUS"
"381","GROSS S",2006,"CAN EMPIRICAL THEORIES OF SEMANTIC COMPETENCE REALLY HELP LIMN THE
STRUCTURE OF REALITY?","NOUS"
"382","MACPHERSON FIONA",2006,"AMBIGUOUS FIGURES AND THE CONTENT OF EXPERIENCE","NOUS"
"383","MARKIE PJ",2006,"EPISTEMICALLY APPROPRIATE PERCEPTUAL BELIEF","NOUS"
"384","TRESAN J",2006,"DE DIETO INTERNALIST COGNITIVISM","NOUS"
"385","SORENSEN ROY",2006,"FUTURE LAW: PREPUNISHMENT AND THE CAUSAL THEORY OF VERDICTS","NOUS"
"386","HANKS PETER W",2006,"SCOTT SOAMES, BEYOND RIGIDITY: THE UNFINISHED SEMANTIC AGENDA OF NAMING
AND NECESSITY","NOUS"
"387","ARNTZENIUS FRANK",2006,"INFINITY, RELATIVITY AND SMOOTHNESS","NOUS"
"388","ASHER NICHOLAS",2006,"THINGS AND THEIR ASPECTS (FREGEAN SEMANTIC APPROACH)","NOUS"
"389","BEALER GEORGE",2006,"A DEFINITION OF NECESSITY","NOUS"
"390","BRAUN DAVID",2006,"NOW YOU KNOW WHO HONG OAK YUN IS (QUESTIONS)","NOUS"
"391","BRICKER PHILLIP",2006,"ABSOLUTE ACTUALITY AND THE PLURALITY OF WORLDS","NOUS"
"392","FARA DELIA GRAFF",2006,"DESCRIPTIONS WITH ADVERBS OF QUANTIFICATION (PREDICATES)","NOUS"
"393","BROGAARD BERIT",2006,"TWO MODAL-ISMS: FICTIONALISM AND ERSATZISM","NOUS"
"394","AUDI PAUL",2012,"GROUNDING: TOWARD A THEORY OF THE IN-VIRTUE-OF RELATION","JOURNAL OF PHILOSOPHY"
"395","BAYNE TIM",2008,"THE UNITY OF CONSCIOUSNESS AND THE SPLIT-BRAIN SYNDROME","JOURNAL OF PHILOSOPHY"
"396","HECK RICHARD G JR",2006,"MACFARLANE ON RELATIVE TRUTH (JOHN MACFARLANE)","NOUS"
"397","EKLUND MATTI",2006,"NEO-FREGEAN ONTOLOGY","NOUS"
"398","HIGGINBOTHAM JAMES",2006,"SENTENTIALISM: THE THESIS THAT COMPLEMENT CLAUSES REFER TO THEMSELVES","NOUS"
"399","JESHION ROBIN",2006,"SOAMES ON DESCRIPTIVE REFERENCE-FIXING (SCOTT SOAMES)","NOUS"
"400","KING JEFFREY C",2006,"SINGULAR TERMS, REFERENCE AND METHODOLOGY IN SEMANTICS","NOUS"
"401","LUDLOW PETER",2006,"FROM SHERLOCK AND BUFFY TO KLINGON AND NORRATHIAN PLATINUM PIECES:
PRETENSE, CONTEXTALISM, AND THE MYTH OF FICTION","NOUS"
"402","LYCAN WILLIAM G",2006,"THE MEANING OF ``WATER{''}: AN UNSOLVED PROBLEM","NOUS"
"403","GILMORE CODY",2006,"WHERE IN THE RELATIVISTIC WORLD ARE WE? (SPACE-TIME REGIONS)","NOUS"
"404","MILLS EUGENE",2008,"ARE ANALYTIC PHILOSOPHERS SHALLOW AND STUPID?","JOURNAL OF PHILOSOPHY"
"405","MATTHEWS ROBERT J",2006,"``KNOWLEDGE OF LANGUAGE AND LINGUISTIC COMPETENCE{''}'","NOUS"
"406","PIETROSKI PAUL M",2006,"INTERPRETING CONCATENATION AND CONCATENATES","NOUS"
"407","KMENT BORIS",2006,"COUNTERFACTUALS AND THE ANALYSIS OF NECESSITY (DEFINITION OF
METAPHYSICAL NECESSITY)","NOUS"
"408","SAINSBURY RM",2006,"UNDERSTANDING AS IMMERSION","NOUS"
"409","SALMON NATHAN",2006,"TERMS IN BONDAGE (FREGE)","NOUS"
"410","SCHIFFER STEPHEN",2006,"TWO PERSPECTIVES ON KNOWLEDGE OF LANGUAGE","NOUS"
"411","SOAMES SCOTT",2006,"THE PHILOSOPHICAL SIGNIFICANCE OF THE KRIPKEAN NECESSARY APOSTERIORI","NOUS"
"412","MCDANIEL KRIS",2006,"MODAL REALISMS","NOUS"
"413","WILLIAMSON TIMOTHY",2006,"INDICATIVE VERSUS SUBJUNCTIVE CONDITIONALS, CONGRUENTIAL VERSUS
NON-HYPERINTENSIONAL CONTEXTS","NOUS"
"414","PAUL LA",2006,"IN DEFENSE OF ESSENTIALISM","NOUS"
"415","DE MACEDO CARMEN",2008,"GUILT BY STATISTICAL ASSOCIATION: REVISITING THE PROSECUTOR'S FALLACY
AND THE INTERROGATOR'S FALLACY","JOURNAL OF PHILOSOPHY"
"416","HARMAN GILBERT",2006,"SELF-REFLEXIVE THOUGHTS (THOUGHT (OR EXPERIENCE) THAT WAS INTRINSICALLY
ABOUT ITSELF)","NOUS"
"417","HILL CHRISTOPHER S",2006,"HARMAN ON SELF REFERENTIAL THOUGHTS (GILBERT HARMAN)","NOUS"
"418","SARTORIO CAROLINA",2006,"FAILURES TO ACT AND FAILURES OF ADDITIVITY","NOUS"
"419","SIDER THEODORE",2006,"``BARE PARTICULARS{''} (ANSWERING COMPLAINTS ABOUT ``BARE
PARTICULARS{''})","NOUS"
"420","SZABO ZOLTAN GENDLER",2006,"COUNTING ACROSS TIMES (PRESENTISM)","NOUS"
"421","UZQUIANO GABRIEL",2006,"RECEPTACLES (REGIONS IN SPACE)","NOUS"
"422","VAN INWAGEN PETER",2006,"NAMES FOR RELATIONS (THEORY OF RELATIONS)","NOUS"
"423","WEATHERSON BRIAN",2006,"THE ASYMMETRIC MAGNETS PROBLEM","NOUS"
"424","WILLIAMS J ROBERT G",2006,"ILLUSIONS OF GUNK (MEREOLOGICAL NIHILISM)","NOUS"
"425","FRANCES BRYAN",2005,"WHEN A SKEPTICAL HYPOTHESIS IS LIVE","NOUS"
"426","LEVY NEIL",2008,"COUNTERFACTUAL INTERVENTION AND AGENTS' CAPACITIES","JOURNAL OF PHILOSOPHY"
"427","BRAUN DAVID",2005,"EMPTY NAMES, FICTIONAL NAMES, MYTHICAL NAMES","NOUS"
"428","HIDDLESTON E",2005,"A CAUSAL THEORY OF COUNTERFACTUALS","NOUS"
"429","SIDER THEODORE",2005,"ANOTHER LOOK AT ARMSTRONG'S COMBINATORIALISM","NOUS"
"430","SUTTON J",2005,"STICK TO WHAT YOU KNOW","NOUS"
"431","MCGEE V",2005,"INSCRUTABILITY AND ITS DISCONTENTS","NOUS"
"432","WILSON J",2005,"SUPERVENIENCE-BASED FORMULATIONS OF PHYSICALISM","NOUS"
"433","SARTORIO CAROLINA",2005,"A NEW ASYMMETRY BETWEEN ACTIONS AND OMISSIONS","NOUS"
"434","CHEN CHERYL K",2008,"ON HAVING A POINT OF VIEW: BELIEF, ACTION, AND EGOCENTRIC STATES","JOURNAL OF PHILOSOPHY"
"435","GREGORY D",2005,"KEEPING SEMANTICS PURE","NOUS"
"436","BARNETT DAVID",2005,"THE PROBLEM OF MATERIAL ORIGINS","NOUS"
"437","HIDDLESTON E",2005,"TIMOTHY O'CONNOR, `PERSONS AND CAUSES' (OXFORD: OXFORD UNIVERSITY PRESS, 2000)","NOUS"
"438","HOFWEBER THOMAS",2005,"A PUZZLE ABOUT ONTOLOGY","NOUS"
"439","MCMAHON C",2005,"SHARED AGENCY AND RATIONAL COOPERATION","NOUS"
"440","RICKLESS SC",2005,"THE CARTESIAN FALLACY FALLACY","NOUS"
"441","JUHL CORY",2005,"FINE-TUNING, MANY WORLDS, AND THE `INVERSE GAMBLER'S FALLACY'","NOUS"
"442","FARA MICHAEL",2005,"DISPOSITIONS AND HABITUALS","NOUS"
"443","SOTERIOU MATTHEW",2005,"MENTAL ACTION AND THE EPISTEMOLOGY OF MIND","NOUS"
"444","BARNETT DAVID",2008,"INDETERMINACY AND INCOMPLETE DEFINITIONS (PAUL HORWICH, TIMOTHY
WILLIAMSON)","JOURNAL OF PHILOSOPHY"
"445","DAVIS WA",2005,"CONCEPT INDIVIDUATION, POSSESSION CONDITIONS, AND PROPOSITIONAL
ATTITUDES","NOUS"
"446","PEACOCKE CHRISTOPHER",2005,"RATIONALE AND MAXIMS IN THE STUDY OF CONCEPTS","NOUS"
"447","BROWN JESSICA",2005,"DOUBT, CIRCULARITY AND THE MOOREAN RESPONSE TO THE SCEPTIC.","NOUS"
"448","D'ARMS J",2005,"TWO ARGUMENTS FOR SENTIMENTALISM","NOUS"
"449","CAPPELEN HERMAN",2005,"PLURALISTIC SKEPTICISM: ADVERTISEMENT FOR SPEECH ACT PLURALISM","NOUS"
"450","FELDMAN F",2005,"THE OPEN QUESTION ARGUMENT: WHAT IT ISN'T; AND WHAT IT IS","NOUS"
"451","CASULLO A",2005,"EPISTEMIC OVERDETERMINATION AND A PRIORI JUSTIFICATION","NOUS"
"452","HARMAN GILBERT",2005,"MORAL PARTICULARISM AND TRANSDUCTION","NOUS"
"453","WILLIAMS J ROBERT G",2008,"SUPERVALUATIONISM AND LOGICAL REVISIONISM (TIMOTHY WILLIAMSON)","JOURNAL OF PHILOSOPHY"
"454","COMESANA JUAN",2005,"WE ARE (ALMOST) ALL EXTERNALISTS NOW","NOUS"
"455","HORWICH PAUL",2005,"THE FREGE-GEACH POINT","NOUS"
"456","JACKSON FRANK",2005,"WHAT ARE COGNITIVISTS DOING WHEN THEY DO NORMATIVE ETHICS?","NOUS"
"457","FELDMAN R",2005,"RESPECTING THE EVIDENCE","NOUS"
"458","SHAFER-LANDAU R",2005,"ERROR THEORY AND THE POSSIBILITY OF NORMATIVE ETHICS","NOUS"
"459","AUDI ROBERT",2005,"WRONGS WITHIN RIGHTS","NOUS"
"460","FUMERTON R",2005,"SPECKLED HENS AND OBJECTS OF ACQUAINTANCE","NOUS"
"461","HAJEK A",2005,"SCOTCHING DUTCH BOOKS?","NOUS"
"462","LOPES DOMINIC MCIVER",2008,"NOBODY NEEDS A THEORY OF ART","JOURNAL OF PHILOSOPHY"
"463","CARSON THOMAS L",2005,"ROSS AND UTILITARIANISM ON PROMISE KEEPING AND LYING: SELF-EVIDENCE AND
THE DATA OF ETHICS","NOUS"
"464","JOYCE JM",2005,"HOW PROBABILITIES REFLECT EVIDENCE","NOUS"
"465","HILL TE",2005,"ASSESSING MORAL RULES: UTILITARIAN AND KANTIAN PERSPECTIVES","NOUS"
"466","KELLY THOMAS",2005,"MOOREAN FACTS AND BELIEF REVISION, OR CAN THE SKEPTIC WIN?","NOUS"
"467","SINNOTT-ARMSTRONG WALTER",2005,"YOU OUGHT TO BE ASHAMED OF YOURSELF (WHEN YOU VIOLATE AN IMPERFECT MORAL
OBLIGATION)","NOUS"
"468","SLOTE M",2005,"THE DUALISM OF THE ETHICAL","NOUS"
"469","LAWLOR K",2005,"ENOUGH IS ENOUGH: PRETENSE AND INVARIANCE IN THE SEMANTICS OF ``KNOWS
THAT{''}","NOUS"
"470","TEMKIN LS",2005,"A ``NEW{''} PRINCIPLE OF AGGREGATION","NOUS"
"471","LYONS JACK",2005,"PERCEPTUAL BELIEF AND NONEXPERIENTIAL LOOKS","NOUS"
"472","GERT JOSHUA",2008,"WHAT COLORS COULD NOT BE: AN ARGUMENT FOR COLOR PRIMITIVISM (PAUL
BENACERRAF)","JOURNAL OF PHILOSOPHY"
"473","MEACHAM CJG",2005,"THREE PROPOSALS REGARDING A THEORY OF CHANCE","NOUS"
"474","ARPALY NOMY",2005,"HOW IT IS NOT ``JUST LIKE DIABETES{''}: MENTAL DISORDERS AND THE MORAL
PSYCHOLOGIST","NOUS"
"475","GREENBERG M",2005,"A NEW MAP OF THEORIES OF MENTAL CONTENT: CONSTITUTIVE ACCOUNTS AND
NORMATIVE THEORIES","NOUS"
"476","BROOME JOHN",2005,"DOES RATIONALITY GIVE US REASONS?","NOUS"
"477","GIBBARD ALLAN",2005,"TRUTH AND CORRECT BELIEF","NOUS"
"478","ESTLUND D",2005,"POLITICAL AUTHORITY AND THE TYRANNY OF NON-CONSENT","NOUS"
"479","PRICE R",2005,"CONTENT ASCRIPTIONS AND THE REVERSMILITY CONSTRAINT","NOUS"
"480","GERT B",2005,"MORAL ARROGANCE AND MORAL THEORIES","NOUS"
"481","SCHULZ ARMIN W",2008,"RISKY BUSINESS: EVOLUTIONARY THEORY AND HUMAN ATTITUDES TOWARD RISK - A
REPLY TO OKASHA (SAMIR OKASHA)","JOURNAL OF PHILOSOPHY"
"482","SILINS NICHOLAS",2005,"DECEPTION AND EVIDENCE","NOUS"
"483","MCMAHAN J",2005,"THE BASIS OF MORAL LIABILITY TO DEFENSIVE KILLING","NOUS"
"484","WARFIELD TA",2005,"KNOWLEDGE FROM FALSEHOOD","NOUS"
